guide_friction_mu,joint_index,joint_angle_deg
0.0,1,-23.04024150814515
0.0,2,-21.704761934954746
0.0,3,-20.237672399883415
0.0,4,-18.7237527144192
0.0,5,-17.231846525644844
0.0,6,-15.804576586775905
0.0,7,-14.463615286060834
0.0,8,-13.217487279374161
0.0,9,-12.067319608336177
0.0,10,-11.010284549050908
0.0,11,-10.041562127356286
0.015,1,-23.418051755678718
0.015,2,-21.969834533263256
0.015,3,-20.37278052701154
0.015,4,-18.738081771159504
0.015,5,-17.14844160413235
0.015,6,-15.648381525183451
0.015,7,-14.256199201638644
0.015,8,-12.975923150927203
0.015,9,-11.80461173996491
0.015,10,-10.736155762905076
0.015,11,-9.763200078276112
0.05,1,-24.276055842321423
0.05,2,-22.5784711460213
0.05,3,-20.66859127315104
0.05,4,-18.746764596162304
0.05,5,-16.935692582527395
0.05,6,-15.279274354290171
0.05,7,-13.782672562983613
0.05,8,-12.436601197390608
0.05,9,-11.227531789200256
0.05,10,-10.141488713818372
0.05,11,-9.165377403375288
0.1,1,-25.40501215497513
0.1,2,-23.420673535822974
0.1,3,-21.050855818866275
0.1,4,-18.70935178247135
0.1,5,-16.60094748801979
0.1,6,-14.75270800931437
0.1,7,-13.138783473238773
0.1,8,-11.725938036819363
0.1,9,-10.48432999626891
0.1,10,-9.389040324393727
0.1,11,-8.419549467489094
0.2,1,-27.151505871804815
0.2,2,-24.941034966423384
0.2,3,-21.67730052627438
0.2,4,-18.48238702970334
0.2,5,-15.860329292376964
0.2,6,-13.728941261697075
0.2,7,-11.96708562439777
0.2,8,-10.487174754325727
0.2,9,-9.22838499514374
0.2,10,-8.147297482738823
0.2,11,-7.211840401741719
